octave,tone,time
2.0,C,0.125
2.0,D,0.125
2.0,Eb,0.125
2.0,F,0.125
2.0,G,0.125
2.0,As,0.125
2.0,B,0.125
3.0,C,0.125
3.0,D,0.125
3.0,Eb,0.125
3.0,F,0.125
3.0,G,0.125
3.0,As,0.125
3.0,B,0.125
4.0,C,0.125
4.0,D,0.125
4.0,Eb,0.125
4.0,F,0.125
4.0,G,0.125
4.0,As,0.125
4.0,B,0.125
5.0,c,0.125
5.0,d,0.125
5.0,eb,0.125
5.0,f,0.125
5.0,g,0.125
5.0,as,0.125
5.0,b,0.125
6.0,c,0.125
6.0,d,0.125
6.0,eb,0.125
6.0,f,0.125
6.0,g,0.125
6.0,as,0.125
6.0,b,0.125
7.0,c,0.125
7.0,d,0.125
7.0,eb,0.125
7.0,f,0.125
7.0,g,0.125
